City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
160,Chicama,PE,-7.8447,-79.1469,59.54,84,99,5.79,overcast clouds,2022-06-02 03:43:56
161,Dikson,RU,73.5069,80.5464,28.4,92,100,28.1,overcast clouds,2022-06-02 03:43:57
162,Fukue,JP,32.6881,128.8419,75.56,73,40,8.05,scattered clouds,2022-06-02 03:42:53
163,Alta Floresta,BR,-9.8756,-56.0861,73.31,75,98,1.83,overcast clouds,2022-06-02 03:43:58
164,Talnakh,RU,69.4865,88.3972,33.21,76,98,1.74,overcast clouds,2022-06-02 03:43:59
165,Watsa,CD,3.0372,29.5355,62.11,88,100,2.44,overcast clouds,2022-06-02 03:44:00
166,Sabya,SA,17.1495,42.6254,82.02,58,8,4.34,clear sky,2022-06-02 03:44:01
167,Vanimo,PG,-2.6741,141.3028,85.62,64,3,10.16,clear sky,2022-06-02 03:44:01
168,Dali,CN,25.7,100.1833,76.96,52,49,6.64,scattered clouds,2022-06-02 03:44:02
169,Provideniya,RU,64.3833,-173.3,37.51,93,28,11.18,mist,2022-06-02 03:44:03
170,Marystown,CA,47.1666,-55.1483,42.85,100,100,3.0,overcast clouds,2022-06-02 03:44:03
171,Barrow,US,71.2906,-156.7887,30.22,80,100,14.97,overcast clouds,2022-06-02 03:44:04
172,Santo Estevao,BR,-12.4303,-39.2514,66.78,99,28,3.11,scattered clouds,2022-06-02 03:42:21
173,Krasnoselkup,RU,65.7,82.4667,32.95,68,100,20.0,overcast clouds,2022-06-02 03:44:06
174,Carnarvon,AU,-24.8667,113.6333,68.86,50,0,11.3,clear sky,2022-06-02 03:44:07
175,Castanos,MX,26.7833,-101.4167,86.34,48,47,14.88,scattered clouds,2022-06-02 03:41:44
176,Mar Del Plata,AR,-38.0023,-57.5575,46.94,70,0,3.44,clear sky,2022-06-02 03:44:08
177,Luwuk,ID,-0.9516,122.7875,86.81,66,51,4.21,broken clouds,2022-06-02 03:44:09
178,Nangal,IN,31.3667,76.3833,102.34,9,5,3.2,clear sky,2022-06-02 03:39:31
179,Manokwari,ID,-0.8667,134.0833,83.89,73,62,11.65,broken clouds,2022-06-02 03:44:10
180,Dingle,PH,10.9995,122.6711,89.15,62,13,6.69,few clouds,2022-06-02 03:44:11
181,Redlands,US,34.0556,-117.1825,79.45,48,0,9.22,clear sky,2022-06-02 03:44:11
182,College,US,64.8569,-147.8028,76.98,29,75,9.22,broken clouds,2022-06-02 03:45:13
183,Beringovskiy,RU,63.05,179.3167,38.79,84,47,7.16,scattered clouds,2022-06-02 03:45:15
184,Ekibastuz,KZ,51.6667,75.3667,63.09,44,35,17.36,scattered clouds,2022-06-02 03:45:16
185,Leningradskiy,RU,69.3833,178.4167,53.87,51,100,4.88,overcast clouds,2022-06-02 03:45:17
186,Itaqui,BR,-29.1253,-56.5531,42.1,79,98,7.72,overcast clouds,2022-06-02 03:45:18
187,Kudahuvadhoo,MV,2.6708,72.8944,84.0,69,64,14.85,broken clouds,2022-06-02 03:45:19
188,Tabou,CI,4.423,-7.3528,77.09,87,100,1.36,overcast clouds,2022-06-02 03:45:20
189,Carbonia,IT,39.1672,8.5222,70.45,50,52,7.18,broken clouds,2022-06-02 03:45:21
190,Erenhot,CN,43.6475,111.9767,87.96,7,4,17.65,clear sky,2022-06-02 03:45:22
191,Terney,RU,45.0503,136.6092,47.39,95,100,6.64,light rain,2022-06-02 03:45:22
192,Kutum,SD,14.2,24.6667,74.39,15,39,5.68,scattered clouds,2022-06-02 03:45:23
193,Nikolskoye,RU,59.7035,30.7861,57.87,97,100,8.75,overcast clouds,2022-06-02 03:45:23
194,Nemuro,JP,43.3236,145.575,47.41,94,99,8.68,overcast clouds,2022-06-02 03:45:24
195,Nishihara,JP,26.1842,127.7558,80.65,94,100,16.11,mist,2022-06-02 03:45:25
196,Saldanha,ZA,-33.0117,17.9442,46.45,86,0,8.23,clear sky,2022-06-02 03:45:25
197,High Level,CA,58.5169,-117.136,69.91,18,40,4.61,smoke,2022-06-02 03:45:27
198,Pevek,RU,69.7008,170.3133,46.65,55,100,8.9,overcast clouds,2022-06-02 03:45:27
199,Saint-Francois,FR,46.4154,3.9054,56.64,82,0,3.44,clear sky,2022-06-02 03:45:28
200,Luau,AO,-10.7073,22.2247,55.89,55,4,6.11,clear sky,2022-06-02 03:45:28
201,Clemencia,CO,10.5665,-75.325,81.77,84,67,1.57,broken clouds,2022-06-02 03:45:29
202,Namibe,AO,-15.1961,12.1522,73.9,40,0,9.69,clear sky,2022-06-02 03:45:30
203,Yining,CN,29.0361,114.5636,74.35,99,100,2.42,light rain,2022-06-02 03:45:30
204,Obo,CF,5.3998,26.4869,66.85,96,100,2.39,overcast clouds,2022-06-02 03:45:31
205,Olafsvik,IS,64.8945,-23.7142,47.44,82,100,12.88,overcast clouds,2022-06-02 03:45:32
206,Sao Filipe,CV,14.8961,-24.4956,75.33,74,91,10.94,overcast clouds,2022-06-02 03:45:32
207,Saint George,US,37.1041,-113.5841,84.79,8,0,8.05,clear sky,2022-06-02 03:45:33
208,Stokmarknes,NO,68.5646,14.9108,55.38,62,0,6.91,clear sky,2022-06-02 03:45:33
209,Port Hardy,CA,50.6996,-127.4199,53.78,100,100,0.0,light rain,2022-06-02 03:41:03
210,Sao Luis De Montes Belos,BR,-16.525,-50.3722,65.23,43,2,2.15,clear sky,2022-06-02 03:44:04
211,Paralimni,CY,35.0375,33.9833,63.09,72,41,4.92,scattered clouds,2022-06-02 03:45:35
212,Saurimo,AO,-9.6608,20.3916,55.96,52,20,7.16,few clouds,2022-06-02 03:45:35
213,Kavieng,PG,-2.5744,150.7967,83.16,66,100,4.23,overcast clouds,2022-06-02 03:45:36
214,Darhan,MN,49.4867,105.9228,80.08,32,70,17.69,broken clouds,2022-06-02 03:45:37
215,Mitu,CO,1.1983,-70.1733,68.68,99,100,1.66,overcast clouds,2022-06-02 03:45:37
216,Fairbanks,US,64.8378,-147.7164,77.0,29,75,9.22,broken clouds,2022-06-02 03:41:03
217,Godhra,IN,22.75,73.6333,91.6,36,94,12.3,overcast clouds,2022-06-02 03:45:38
218,Auki,SB,-8.7676,160.7034,81.28,80,98,2.57,overcast clouds,2022-06-02 03:45:39
219,Mehamn,NO,71.0357,27.8492,48.15,76,0,12.66,light rain,2022-06-02 03:45:40
220,Taizhou,CN,32.4933,119.9106,95.68,26,0,8.99,clear sky,2022-06-02 03:45:40
221,Moranbah,AU,-22.0016,148.0466,73.27,34,72,9.55,broken clouds,2022-06-02 03:45:41
222,Jacareacanga,BR,-6.2222,-57.7528,72.16,95,39,1.77,scattered clouds,2022-06-02 03:45:42
223,Oyem,GA,1.5995,11.5793,67.08,99,100,2.19,overcast clouds,2022-06-02 03:45:42
224,Noyabrsk,RU,63.1994,75.4507,34.21,55,98,21.74,overcast clouds,2022-06-02 03:45:43
225,Zabaykalsk,RU,49.6333,117.3167,70.0,25,48,10.18,scattered clouds,2022-06-02 03:45:43
226,Phan Thiet,VN,10.9333,108.1,86.52,71,74,8.79,broken clouds,2022-06-02 03:45:44
227,Gainesville,US,29.6516,-82.3248,75.09,83,0,0.0,clear sky,2022-06-02 03:42:10
228,Geraldton,AU,-28.7667,114.6,68.41,49,0,6.91,clear sky,2022-06-02 03:45:45
229,Poum,NC,-20.2333,164.0167,76.93,72,19,17.22,few clouds,2022-06-02 03:46:46
230,Tuatapere,NZ,-46.1333,167.6833,49.3,91,100,12.26,overcast clouds,2022-06-02 03:46:46
231,Zahir Pir,PK,28.8124,70.524,104.13,7,0,7.14,clear sky,2022-06-02 03:46:47
232,Torbay,CA,47.6666,-52.7314,43.29,96,100,18.41,light rain,2022-06-02 03:46:48
233,Knysna,ZA,-34.0363,23.0471,53.98,53,64,4.72,broken clouds,2022-06-02 03:46:49
234,Hudson Bay,CA,52.85,-102.3842,44.4,71,100,14.5,overcast clouds,2022-06-02 03:46:49
235,Sjovegan,NO,68.8726,17.8474,57.94,71,19,6.46,few clouds,2022-06-02 03:46:50
236,Vemalwada,IN,18.4667,78.8833,100.09,26,68,17.9,broken clouds,2022-06-02 03:46:50
237,Goderich,CA,43.7501,-81.7165,56.91,62,29,8.05,scattered clouds,2022-06-02 03:45:15
238,Siteki,SZ,-26.45,31.95,46.9,61,0,2.46,clear sky,2022-06-02 03:46:51
239,Zhaoyuan,CN,37.3592,120.3964,90.59,24,19,5.17,few clouds,2022-06-02 03:46:52
240,Waingapu,ID,-9.6567,120.2641,86.36,63,42,9.46,scattered clouds,2022-06-02 03:46:53
241,Vallenar,CL,-28.5708,-70.7581,49.91,86,100,2.39,overcast clouds,2022-06-02 03:46:53
242,Tarija,BO,-21.5355,-64.7296,42.71,75,71,5.75,broken clouds,2022-06-02 03:46:54
243,Cherskiy,RU,68.75,161.3,64.85,36,100,14.74,overcast clouds,2022-06-02 03:46:54
244,Frontera,MX,26.9333,-101.45,88.32,48,48,5.01,scattered clouds,2022-06-02 03:44:35
245,Rock Hill,US,34.9249,-81.0251,78.98,77,0,4.61,clear sky,2022-06-02 03:46:55
246,Macapa,BR,0.0389,-51.0664,80.58,94,0,2.3,clear sky,2022-06-02 03:45:21
247,Urumqi,CN,43.801,87.6005,70.75,35,20,6.71,few clouds,2022-06-02 03:46:56
248,Grand Falls,CA,47.0461,-67.7418,50.41,71,92,4.7,overcast clouds,2022-06-02 03:46:01
249,Chiredzi,ZW,-21.05,31.6667,53.2,91,1,3.42,clear sky,2022-06-02 03:46:58
250,Bressuire,FR,46.9167,-0.5,52.81,76,81,9.64,broken clouds,2022-06-02 03:46:58
251,Panzhihua,CN,26.5851,101.7128,84.83,59,37,3.85,scattered clouds,2022-06-02 03:46:59
252,Yumen,CN,40.2833,97.2,76.23,27,99,17.02,overcast clouds,2022-06-02 03:47:00
253,Cabedelo,BR,-6.9811,-34.8339,74.07,86,47,6.69,scattered clouds,2022-06-02 03:47:00
